date,basis,basis_z,signal,gross_return,transaction_cost,funding_cost,net_return,equity_curve
2024-06-03,0.0006029290912863416,1.4770460387647308,-1.0,1.770308291782082e-07,0.0,3.968253968253968e-06,-3.79122313907576e-06,0.9980907932331615
2024-06-04,0.0005975148323464907,1.4210451082256068,-1.0,-1.0828517879699247e-07,0.0,3.968253968253968e-06,-4.0765391470509605e-06,0.9980867244769707
2024-06-05,0.0003557335354322788,0.893195858134851,-1.0,-4.83562593828424e-06,0.0,3.968253968253968e-06,-8.80387990653821e-06,0.998077937441312
2024-06-06,0.00043691599015360794,1.0419048914246483,-1.0,1.6236490944265857e-06,0.0,3.968253968253968e-06,-2.3446048738273824e-06,0.9980755973429154
2024-06-07,0.00030850715937980056,0.7640301872381093,-1.0,-2.5681766154761433e-06,0.0,3.968253968253968e-06,-6.536430583730111e-06,0.9980690734910561
2024-06-08,0.0005198440931000192,1.2285838706755237,-1.0,4.2267386744043735e-06,0.0,3.968253968253968e-06,2.5848470615040546e-07,0.9980693314766472
2024-06-09,0.0002721884571581512,0.731726175565705,-1.0,-4.953112718837361e-06,0.0,3.968253968253968e-06,-8.92136668709133e-06,0.998060427334162
2024-06-10,0.00026887383005913534,0.7540816389564876,-1.0,-6.629254198032083e-08,0.0,3.968253968253968e-06,-4.034546510234289e-06,0.9980564006129479
2024-06-11,9.59632024937207e-05,0.4168478051485428,0.0,-3.4582125513083883e-06,5.6e-05,3.968253968253968e-06,-6.342646651956236e-05,0.9979930974220698
2024-06-12,9.24309930425693e-05,0.41834552606958153,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-13,0.0002079965470187517,0.6721778993811269,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-14,-6.49588151500069e-05,0.05607808030994471,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-15,-0.00021971890414818063,-0.2932429299041583,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-16,-0.00034905749955349563,-0.5851446120722661,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-17,-0.0004847475696418968,-0.8827478715383208,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-18,-0.00038856609473114645,-0.6676598834857107,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-19,-0.0006276751355365207,-1.195024561310378,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-20,-0.0002465234083697254,-0.36460064792174607,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-21,-0.00030498748322038693,-0.5016838174984289,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-22,-0.0003425627383606411,-0.6017653357245155,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-23,-0.0002390729928443136,-0.375518415216366,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-24,-0.0003267895280583133,-0.5913582398517081,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-25,-0.00045653229966013953,-0.8819236982187854,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-26,-8.034498068809626e-05,-0.031219435216298327,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-27,-0.0003966334993990017,-0.7724178729438692,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-28,3.24348547628972e-05,0.2007477443689233,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-29,-7.01817214956435e-05,-0.048761819560458226,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-06-30,-9.574789348043566e-05,-0.11817732735732374,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-01,-0.00026060633335056593,-0.553794658243209,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-02,-0.00019105245252681868,-0.3945450589512379,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-03,-9.633224927085848e-06,0.0319905297759422,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-04,-7.204465088683776e-05,-0.13780940877353356,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-05,-0.0004219592305858555,-1.0128615418757034,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-06,-0.00024268732794041625,-0.5671296027387215,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-07,-0.0004818750350086276,-1.1556976186248031,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-08,-0.0004977027646226873,-1.204275355849135,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-09,-0.00046177757615417647,-1.104916154114394,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-10,-0.00032659680788604817,-0.7655270941812423,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-11,-0.0004254488230834852,-1.0038153549633897,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-12,-0.00032999565776492545,-0.7731073252218721,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-13,-0.000507188760945354,-1.2165476122651164,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-14,-0.0005249913520035676,-1.2534186477938922,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-15,-0.0006729274622099268,-1.6091134920591839,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-16,-0.0005227060050039256,-1.2036360246920115,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-17,-0.0005039655200107518,-1.172810340424559,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-18,-0.00043799105679198647,-1.0089912579081166,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-19,-0.0004816641363643015,-1.1219820890674757,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-20,-0.0006609277245868128,-1.5163579910518035,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-21,-0.0004011640560914742,-0.8417163306394545,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-22,-0.0004859617364854074,-1.0241487884138802,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-23,-0.0002974537992077586,-0.5293303799275602,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-24,-0.0003855368648526536,-0.7238144275798211,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-25,-0.0004096586779720468,-0.7582475902855944,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
