entry_z,exit_z,regression_window,zscore_window,annual_return,annual_volatility,sharpe,max_drawdown,avg_gross_leverage
2.0,1.0,120,60,-0.004522456471536929,0.0037849737194568843,-1.1948448805044458,-0.02049158428679898,0.007730353650499861
2.0,1.0,120,90,-0.005394299743794684,0.0038586215315478743,-1.397986223756642,-0.024325547377175294,0.006692464350972026
2.5,0.25,60,30,-0.00267800237220972,0.004586554882796998,-0.5838810263132851,-0.014694028737624265,0.014081211371283408
2.5,0.25,60,60,-0.0025703366537809247,0.004605428949765176,-0.5581101525650466,-0.0122295299095313,0.012072601416423377
2.5,0.25,60,90,-0.0070942271145919555,0.005195333670799727,-1.3654998050394573,-0.0323778536530932,0.011522010951269509
2.5,0.25,90,30,-0.004214923060914644,0.00481465936222076,-0.8754353618426106,-0.019638186476159225,0.015755063523643895
2.5,0.25,90,60,-0.00214649412448642,0.004406488892793726,-0.4871211925659789,-0.012184969050762162,0.011657789326894189
2.5,0.25,90,90,-0.004353287744434664,0.0050486063074269664,-0.8622751467133762,-0.021391615457514335,0.010284580255692743
2.5,0.25,120,30,-0.005419530342660961,0.004716803841984736,-1.1489836177670114,-0.023902809247167256,0.014593163741380682
2.5,0.25,120,60,-0.0015765670189623604,0.004442650856917643,-0.3548707899265798,-0.008264383482605497,0.010618214134868215
2.5,0.25,120,90,-0.0048423258500993605,0.005192661292691315,-0.9325325834201718,-0.02397623697247353,0.009948847249028395
2.5,0.5,60,30,-0.0039986992038781866,0.0037816443226679525,-1.0573969582250669,-0.018602053272609553,0.009124939829214153
2.5,0.5,60,60,-0.0029592182730083794,0.003615940678640123,-0.8183813109791606,-0.014009303387748084,0.008408437150844909
2.5,0.5,60,90,-0.004704337276579151,0.0042856995863565445,-1.0976824627548167,-0.021420655075804707,0.007603876720886395
2.5,0.5,90,30,-0.0045916191510618765,0.004257629891651605,-1.0784448784675156,-0.021372327679547554,0.009419691233433928
2.5,0.5,90,60,-0.002357577824655399,0.003907033870586135,-0.6034188345292523,-0.010960971966388566,0.007881417159030589
2.5,0.5,90,90,-0.003703428490148597,0.004264065710060537,-0.8685205017856114,-0.017253618400042026,0.006785399688412042
2.5,0.5,120,30,-0.0063325788029605645,0.004018675272945047,-1.5757876346948023,-0.028769669235872763,0.009733932117885601
2.5,0.5,120,60,-0.0014051608645163638,0.0034721360720246556,-0.4046963700063152,-0.008544169666884427,0.007409444842020816
2.5,0.5,120,90,-0.004558273149935066,0.004182618607120397,-1.0898132433531382,-0.020927872538552994,0.006692625048687536
2.5,1.0,60,30,-0.004332531289574892,0.0033361480473764653,-1.298662777565276,-0.02016705616203862,0.006441760977778565
2.5,1.0,60,60,-0.003545661433193792,0.003281393199979222,-1.0805353754058622,-0.016657502872117202,0.005729398901300766
2.5,1.0,60,90,-0.0038570127652834962,0.0036155527181252894,-1.0667837163451477,-0.017341372180378456,0.005103341927365617
2.5,1.0,90,30,-0.004480318704348618,0.0032778330757261233,-1.3668538332618154,-0.020848160663331172,0.006534861528949228
2.5,1.0,90,60,-0.0029702315503605803,0.003140635855400866,-0.9457421003624963,-0.013850474563228077,0.005434450658910174
2.5,1.0,90,90,-0.002691868200025982,0.0032582804237661824,-0.8261622236045921,-0.01274300627149172,0.0045427221144182526
2.5,1.0,120,30,-0.005120178668791664,0.0033281730009776618,-1.5384352517995894,-0.02341465236608964,0.006624079823966532
2.5,1.0,120,60,-0.0021050191445389776,0.003074046847519693,-0.6847713287900673,-0.01078103404825026,0.005114976268595253
2.5,1.0,120,90,-0.0034211271539110744,0.003275420857164135,-1.0444847557309298,-0.015748750939674316,0.004416541383267524
